#OTUID	per_tot	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_9335	0.029039618336444722	Eukaryota	Chordata	Actinopteri	Perciformes	Sebastidae	Sebastes	unassigned
ASV_13643	0.013842198932173226	Eukaryota	Chordata	Actinopteri	Argentiniformes	Bathylagidae	Leuroglossus	s_
ASV_15800	0.052328623757195186	Eukaryota	Chordata	Myxini	Myxiniformes	Myxinidae	Eptatretus	unassigned
ASV_17	0.030187160394445564	Eukaryota	Chordata	Actinopteri	Carangiformes	Carangidae	Seriola	Seriola lalandi
ASV_26	6.896551724137931	Eukaryota	Chordata	Actinopteri	Atheriniformes	Atherinopsidae	g_	s_
ASV_58	6.896551724137931	Eukaryota	Chordata	Actinopteri	unknown	Embiotocidae	Embiotoca	Embiotoca jacksoni
ASV_72	0.035919540229885055	Eukaryota	Chordata	Actinopteri	unknown	Embiotocidae	Embiotoca	Embiotoca lateralis
ASV_1086	0.1185302252074279	Eukaryota	Chordata	Actinopteri	Argentiniformes	Bathylagidae	Leuroglossus	Leuroglossus schmidti
ASV_17071	0.07885398869759495	Eukaryota	Chordata	Actinopteri	Argentiniformes	Bathylagidae	Lipolagus	Lipolagus ochotensis
ASV_17388	0.050276520864756154	Eukaryota	Chordata	Mammalia	unassigned	unassigned	g_	s_
ASV_60	10.204081632653061	Eukaryota	Chordata	Actinopteri	Blenniiformes	Clinidae	Gibbonsia	unassigned
ASV_81	0.01495774437214868	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae	Oxyjulis	Oxyjulis californica
ASV_105	0.12077294685990338	Eukaryota	Chordata	Actinopteri	unknown	Embiotocidae	Amphistichus	Amphistichus argenteus
ASV_107	0.04550108065066545	Eukaryota	Chordata	Actinopteri	Aulopiformes	Paralepididae	Lestidiops	s_
ASV_108	0.08203445447087777	Eukaryota	Chordata	Actinopteri	Myctophiformes	Myctophidae	Symbolophorus	Symbolophorus californiensis
ASV_180	0.015173355587588195	Eukaryota	Chordata	Actinopteri	Perciformes	Zoarcidae	Bothrocara	unassigned
ASV_366	0.04550108065066545	Eukaryota	Chordata	Actinopteri	Argentiniformes	Bathylagidae	Pseudobathylagus	Pseudobathylagus milleri
ASV_870	0.017126220243192325	Eukaryota	Chordata	Actinopteri	Stomiiformes	Gonostomatidae	Cyclothone	Cyclothone acclinidens
ASV_931	1.2121212121212122	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Paralichthyidae	Citharichthys	Citharichthys stigmaeus
ASV_1725	0.6042296072507553	Eukaryota	Chordata	Actinopteri	Perciformes	Serranidae	g_	s_
ASV_9109	0.02749707843541624	Eukaryota	Chordata	Actinopteri	Argentiniformes	Bathylagidae	Leuroglossus	Leuroglossus schmidti
ASV_13318	0.02749707843541624	Eukaryota	Chordata	Actinopteri	Myctophiformes	Myctophidae	Lampanyctus	Lampanyctus tenuiformis
ASV_19950	0.02782415136338342	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Paralichthyidae	Citharichthys	Citharichthys sordidus
ASV_85	5.172413793103448	Eukaryota	Chordata	Actinopteri	Perciformes	Sebastidae	Sebastes	unassigned
ASV_93	0.03412581048799909	Eukaryota	Chordata	Actinopteri	Perciformes	Hexagrammidae	Oxylebius	Oxylebius pictus
ASV_99	0.016457293323824677	Eukaryota	Chordata	Actinopteri	Scombriformes	Stromateidae	Peprilus	Peprilus medius
ASV_119	0.011380016690691146	Eukaryota	Chordata	Actinopteri	unknown	Embiotocidae	Rhacochilus	Rhacochilus vacca
ASV_123	0.013134276082483253	Eukaryota	Chordata	Actinopteri	Salmoniformes	Salmonidae	Oncorhynchus	Oncorhynchus kisutch
ASV_137	0.8	Eukaryota	Chordata	Actinopteri	Blenniiformes	Clinidae	Gibbonsia	Gibbonsia metzi
ASV_177	0.025006251562890724	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	unassigned	unassigned
ASV_212	0.007392804337111878	Eukaryota	Chordata	Actinopteri	Perciformes	Sebastidae	Sebastes	unassigned
ASV_349	0.06152584085315833	Eukaryota	Chordata	Actinopteri	Myctophiformes	Myctophidae	Symbolophorus	Symbolophorus californiensis
ASV_414	0.03526922172584058	Eukaryota	Chordata	Actinopteri	Perciformes	Cottidae	Clinocottus	Clinocottus analis
ASV_553	0.004457056262906892	Eukaryota	Chordata	Actinopteri	unknown	Embiotocidae	g_	s_
ASV_2146	0.012868908716540839	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Paralichthyidae	Citharichthys	Citharichthys sordidus
ASV_4880	0.02837416059774898	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Sardinops	Sardinops melanostictus
ASV_8238	0.018466083959128403	Eukaryota	Chordata	Actinopteri	Myctophiformes	Myctophidae	g_	s_
ASV_22703	0.04943968358602505	Eukaryota	Chordata	Actinopteri	Perciformes	Sebastidae	Sebastes	unassigned
ASV_44	0.01569119723834929	Eukaryota	Chordata	Actinopteri	Scombriformes	Scombridae	Thunnus	Thunnus alalunga
ASV_158	2.1505376344086025	Eukaryota	Chordata	Actinopteri	Perciformes	unassigned	unassigned	unassigned
ASV_328	0.022750540325332726	Eukaryota	Chordata	Actinopteri	Perciformes	Anarhichadidae	Anarrhichthys	Anarrhichthys ocellatus
ASV_336	0.008401949252226516	Eukaryota	Chordata	Actinopteri	Perciformes	Hexagrammidae	Hexagrammos	Hexagrammos decagrammus
ASV_352	1.1494252873563218	Eukaryota	Chordata	Actinopteri	Perciformes	Pholidae	Apodichthys	Apodichthys flavidus
ASV_393	0.00903954802259887	Eukaryota	Chordata	Actinopteri	unknown	Embiotocidae	Amphistichus	Amphistichus argenteus
ASV_426	0.01391207568169171	Eukaryota	Chordata	Actinopteri	Stomiiformes	Stomiidae	Idiacanthus	Idiacanthus antrostomus
ASV_619	0.00747887218607434	Eukaryota	Chordata	Actinopteri	Aulopiformes	Paralepididae	Lestidiops	s_
ASV_828	0.012040214315814821	Eukaryota	Chordata	Actinopteri	Perciformes	Stichaeidae	unassigned	unassigned
ASV_1073	0.006270575325286095	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae	Pleuronichthys	Pleuronichthys decurrens
ASV_1149	0.009730466089325679	Eukaryota	Chordata	Actinopteri	unknown	Embiotocidae	unassigned	unassigned
ASV_1228	0.018037518037518036	Eukaryota	Chordata	Actinopteri	Perciformes	Stichaeidae	Xiphister	unassigned
ASV_1254	0.01391207568169171	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Paralichthyidae	Citharichthys	Citharichthys sordidus
ASV_1447	5.714285714285714	Eukaryota	Chordata	Actinopteri	Perciformes	Cottidae	Synchirus	Synchirus gilli
ASV_8059	0.013183046602069738	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Sardinops	Sardinops melanostictus
ASV_10592	0.017287578874578616	Eukaryota	Chordata	Actinopteri	Myctophiformes	Myctophidae	Stenobrachius	s_
ASV_10595	0.017205781142463867	Eukaryota	Chordata	Actinopteri	unassigned	unassigned	g_	s_
ASV_88	0.011375270162666363	Eukaryota	Chordata	Actinopteri	Perciformes	Cottidae	Clinocottus	Clinocottus globiceps
ASV_165	1.0752688172043012	Eukaryota	Chordata	Actinopteri	unknown	Embiotocidae	unassigned	unassigned
ASV_184	0.1510574018126888	Eukaryota	Chordata	Actinopteri	Lutjaniformes	Haemulidae	g_	s_
ASV_207	0.021473051320592657	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Paralichthyidae	Paralichthys	s_
ASV_422	1.0752688172043012	Eukaryota	Chordata	Actinopteri	Perciformes	Liparidae	Liparis <bony fishes>	Liparis mucosus
ASV_465	0.004242681374628765	Eukaryota	Chordata	Actinopteri	Perciformes	Stichaeidae	Xiphister	unassigned
ASV_508	0.009018759018759018	Eukaryota	Chordata	Actinopteri	Perciformes	Cottidae	g_	s_
ASV_565	0.26666666666666666	Eukaryota	Chordata	Actinopteri	Perciformes	Aulorhynchidae	Aulorhynchus	Aulorhynchus flavidus
ASV_571	0.009018759018759018	Eukaryota	Chordata	Actinopteri	Blenniiformes	Clinidae	Gibbonsia	Gibbonsia metzi
ASV_573	1.8867924528301887	Eukaryota	Chordata	Actinopteri	Perciformes	Sebastidae	Sebastes	unassigned
ASV_610	0.26666666666666666	Eukaryota	Chordata	Actinopteri	Perciformes	Stichaeidae	unassigned	unassigned
ASV_782	0.009791442279447763	Eukaryota	Chordata	Actinopteri	Myctophiformes	Myctophidae	Stenobrachius	Stenobrachius leucopsarus
ASV_920	0.0048652330446628395	Eukaryota	Chordata	Actinopteri	Perciformes	Stichaeidae	Anoplarchus	unassigned
ASV_1009	0.002464268112370626	Eukaryota	Chordata	Actinopteri	Gobiiformes	Gobiidae	Lepidogobius	Lepidogobius lepidus
ASV_1083	0.004519774011299435	Eukaryota	Chordata	Actinopteri	Blenniiformes	Gobiesocidae	Gobiesox	Gobiesox maeandricus
ASV_1235	0.0014856854209689642	Eukaryota	Chordata	Actinopteri	Gobiiformes	Gobiidae	g_	s_
ASV_1288	0.011375270162666363	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Sardinops	Sardinops melanostictus
ASV_1500	0.009887284951552304	Eukaryota	Chordata	Actinopteri	Myctophiformes	Myctophidae	Tarletonbeania	unassigned
ASV_1530	0.020508613617719443	Eukaryota	Chordata	Actinopteri	Gobiiformes	Gobiidae	g_	s_
ASV_1558	0.004519774011299435	Eukaryota	Chordata	Actinopteri	Blenniiformes	Clinidae	Gibbonsia	Gibbonsia metzi
ASV_1563	0.26666666666666666	Eukaryota	Chordata	Actinopteri	Perciformes	Cottidae	Scorpaenichthys	Scorpaenichthys marmoratus
ASV_1589	0.009018759018759018	Eukaryota	Chordata	Actinopteri	Perciformes	Cottidae	Orthonopias	Orthonopias triacis
ASV_1726	1.0752688172043012	Eukaryota	Chordata	Actinopteri	Perciformes	Pholidae	Apodichthys	Apodichthys flavidus
ASV_1755	0.007443799315170463	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Paralichthyidae	Citharichthys	unassigned
ASV_1860	0.26666666666666666	Eukaryota	Chordata	Actinopteri	unknown	Embiotocidae	Amphistichus	Amphistichus argenteus
ASV_1979	0.004955892556249381	Eukaryota	Chordata	Actinopteri	Argentiniformes	Bathylagidae	Pseudobathylagus	Pseudobathylagus milleri
