"","SampleID","PC1","PC2","PC3","FilterID","target_gene","PlateID","library","local_time","time_label","SAMPLING_cruise","depth","SAMPLING_platform","SC","ESP","SAMPLING_station_number","SAMPLING_station","SAMPLING_bottle","decimalLongitude","decimalLatitude","sample_type","Plates","Markers","Status","Dewar_name","Sampling_method","replicate","SAMPLING_rdepth","project_name","nitrate","fluor","density","pressure","minimumDepthInMeters","maximumDepthInMeters","start_GMT","end_GMT","temp","salinity","sigmat","spice","diss_oxygen","PAR (umol/s/m2)","altitude","chlorophyll","bbp470 (count)","bbp650 (count)","SAMPLING_project","ESP_name","diel","month","day","hour","eventDate","time","time_since","year","jday","month_char","year_char","depth_bin"
"11","CN19Sc03_3_eDNA_JJ",0.0965346424874848,-0.0874209509390175,-0.310189223728793,"CN19Sc03_03_eDNA",12,"JJ","JJ7","5/30/19 23:12","05-30 night","CN19S",400,"WESTERN FLYER",NA,"CTD",3,"MARS",3,-122.1972,36.7203,"environmental","JJ,KK,LL","12S,COI,18S","Filters (racks A-D),Tube Extracts (racks E-G)",NA,"CTD",NA,399.762,"CANON",37.979,0.0339,26.8703,403.122,NA,NA,NA,NA,6.3242,34.1831,NA,NA,NA,NA,NA,0.346,NA,NA,NA,NA,"night",5,30,23,2019-05-31 06:12:00,2019-05-30 23:12:00,1559257920,2019,150,"5","2019","300-400m"
"12","CN19Sc12_12_eDNA_JJ",0.024159173790656,-0.323613127264384,0.157568595629471,"CN19Sc12_12_eDNA",12,"JJ","JJ21","6/1/19 0:11","06-01 night","CN19S",0,"WESTERN FLYER",NA,"CTD",12,"MARS",12,-122.1983,36.712,"environmental","JJ,KK,LL","12S,COI,18S","Tube Extracts (racks E-G),Filters (racks A-D)",NA,"CTD",NA,2.599,"CANON",3.748,0.1263,24.9674,2.618,NA,NA,NA,NA,12.6176,33.063,NA,NA,NA,NA,NA,2.6572,NA,NA,NA,NA,"night",6,1,0,2019-06-01 07:11:00,2019-06-01 00:11:00,1559347860,2019,152,"6","2019","0-50m"
"13","CN19Sc12_10_eDNA_JJ",0.193345596970224,0.155765463543139,0.0895329140726558,"CN19Sc12_10_eDNA",12,"JJ","JJ22","6/1/19 0:11","06-01 night","CN19S",45,"WESTERN FLYER",NA,"CTD",12,"MARS",10,-122.1983,36.712,"environmental","JJ,KK,LL","12S,COI,18S","Tube Extracts (racks E-G),Filters (racks A-D)",NA,"CTD",NA,44.66,"CANON",18.18,0.045,25.783,44.996,NA,NA,NA,NA,10.1496,33.5342,NA,NA,NA,NA,NA,0.6251,NA,NA,NA,NA,"night",6,1,0,2019-06-01 07:11:00,2019-06-01 00:11:00,1559347860,2019,152,"6","2019","0-50m"
"14","CN19Sc12_9_eDNA_JJ",-0.253981797215254,0.111999568642051,-0.0350742821409354,"CN19Sc12_09_eDNA",12,"JJ","JJ23","6/1/19 0:11","06-01 night","CN19S",80,"WESTERN FLYER",NA,"CTD",12,"MARS",9,-122.1983,36.712,"environmental","JJ,KK,LL","12S,COI,18S","Tube Extracts (racks E-G),Filters (racks A-D)",NA,"CTD",NA,80.76,"CANON",24.035,0.0354,26.0495,81.376,NA,NA,NA,NA,9.6766,33.7732,NA,NA,NA,NA,NA,0.3846,NA,NA,NA,NA,"night",6,1,0,2019-06-01 07:11:00,2019-06-01 00:11:00,1559347860,2019,152,"6","2019","50-100m"
"15","CN19Sc12_7_eDNA_JJ",-0.071488514277931,0.20294691276323,-0.00204301734774238,"CN19Sc12_07_eDNA",12,"JJ","JJ24","6/1/19 0:11","06-01 night","CN19S",150,"WESTERN FLYER",NA,"CTD",12,"MARS",7,-122.1983,36.712,"environmental","JJ,KK,LL","12S,COI,18S","Filters (racks A-D),Tube Extracts (racks E-G)",NA,"CTD",NA,150.102,"CANON",28.329,0.0342,26.3708,151.272,NA,NA,NA,NA,8.7668,33.9956,NA,NA,NA,NA,NA,0.3535,NA,NA,NA,NA,"night",6,1,0,2019-06-01 07:11:00,2019-06-01 00:11:00,1559347860,2019,152,"6","2019","100-200m"
"16","CN19Sc12_5_eDNA_JJ",-0.298584765861957,0.153441871249628,-0.110924585701515,"CN19Sc12_05_eDNA",12,"JJ","JJ25","6/1/19 0:11","06-01 night","CN19S",280,"WESTERN FLYER",NA,"CTD",12,"MARS",5,-122.1983,36.712,"environmental","JJ,KK,LL","12S,COI,18S","Filters (racks A-D),Tube Extracts (racks E-G)",NA,"CTD",NA,280.15,"CANON",35.372,0.0337,26.6908,282.423,NA,NA,NA,NA,7.3251,34.1285,NA,NA,NA,NA,NA,0.341,NA,NA,NA,NA,"night",6,1,0,2019-06-01 07:11:00,2019-06-01 00:11:00,1559347860,2019,152,"6","2019","200-300m"
"17","CN19Sc12_4_eDNA_JJ",0.251432108747704,0.0863886772624839,0.11262366111065,"CN19Sc12_04_eDNA",12,"JJ","JJ26","6/1/19 0:11","06-01 night","CN19S",400,"WESTERN FLYER",NA,"CTD",12,"MARS",4,-122.1983,36.712,"environmental","JJ,KK,LL","12S,COI,18S","Tube Extracts (racks E-G),Filters (racks A-D)",NA,"CTD",NA,400.741,"CANON",38.752,0.035,26.8537,404.111,NA,NA,NA,NA,6.4331,34.1801,NA,NA,NA,NA,NA,0.374,NA,NA,NA,NA,"night",6,1,0,2019-06-01 07:11:00,2019-06-01 00:11:00,1559347860,2019,152,"6","2019","300-400m"
"18","CN19Sc12_3_eDNA_JJ",-0.0105725826740497,0.0170740431569854,0.471971830927997,"CN19Sc12_03_eDNA",12,"JJ","JJ27","6/1/19 0:11","06-01 night","CN19S",500,"WESTERN FLYER",NA,"CTD",12,"MARS",3,-122.1983,36.712,"environmental","JJ,KK,LL","12S,COI,18S","Tube Extracts (racks E-G),Filters (racks A-D)",NA,"CTD",NA,499.348,"CANON",38.568,0.0354,26.9576,503.667,NA,NA,NA,NA,5.9523,34.2325,NA,NA,NA,NA,NA,0.3846,NA,NA,NA,NA,"night",6,1,0,2019-06-01 07:11:00,2019-06-01 00:11:00,1559347860,2019,152,"6","2019","400-500m"
"19","CN19Sc18_12_eDNA_JJ",0.197477735130937,-0.160416345925659,-0.165276020954616,"CN19Sc18_12_eDNA",12,"JJ","JJ48","6/2/19 0:08","06-02 night","CN19S",0,"WESTERN FLYER",NA,"CTD",18,"MARS",12,-122.1983,36.7132,"environmental","JJ,KK,LL","12S,COI,18S","Tube Extracts (racks E-G),Filters (racks A-D)",NA,"CTD",NA,1.808,"CANON",0.81,0.1721,24.7864,1.821,NA,NA,NA,NA,12.9758,32.9196,NA,NA,NA,NA,NA,3.8028,NA,NA,NA,NA,"night",6,2,0,2019-06-02 07:08:00,2019-06-02 00:08:00,1559434080,2019,153,"6","2019","0-50m"
"20","CN19Sc18_10_eDNA_JJ",0.117626436514609,0.178449064485801,0.177361124640297,"CN19Sc18_10_eDNA",12,"JJ","JJ49","6/2/19 0:08","06-02 night","CN19S",45,"WESTERN FLYER",NA,"CTD",18,"MARS",10,-122.1983,36.7132,"environmental","JJ,KK,LL","12S,COI,18S","Filters (racks A-D),Tube Extracts (racks E-G)",NA,"CTD",NA,45.678,"CANON",20.649,0.0372,25.9006,46.022,NA,NA,NA,NA,9.9569,33.6431,NA,NA,NA,NA,NA,0.4295,NA,NA,NA,NA,"night",6,2,0,2019-06-02 07:08:00,2019-06-02 00:08:00,1559434080,2019,153,"6","2019","0-50m"
