"","FeatureID","PC1","PC2","PC3","ASV","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"44","ASV_517",0.0919219374953212,0.0180952167349768,0.0287843925908346,"ASV_517","Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"45","ASV_532",0.0103275085584977,-0.0052495068929398,-0.00338564553129013,"ASV_532","Eukaryota","Chordata","Actinopteri","Argentiniformes","Bathylagidae","Leuroglossus","Leuroglossus schmidti"
"46","ASV_554",0.093277124102272,-0.120637795185082,0.0717526956024903,"ASV_554","Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"47","ASV_558",0.0308900124590646,0.102478902715546,-0.0189179195335932,"ASV_558","Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"48","ASV_651",-0.0021208734839372,0.0372462557204722,-0.0377928811189705,"ASV_651","Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"49","ASV_686",0.0237415744203458,-0.107752218212197,0.0369630537409298,"ASV_686","Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"50","ASV_697",-0.0180376868765879,-0.0274873476442432,0.0247152286983742,"ASV_697","Eukaryota","Chordata","Mammalia","Cetacea","Delphinidae","unassigned","unassigned"
"51","ASV_712",-0.0213034326091368,-0.118139577768425,0.00241944473788651,"ASV_712","Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"52","ASV_715",0.00731584500813191,0.100002961489318,-0.0755287928404481,"ASV_715","Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"53","ASV_740",0.0213247859692399,-0.00162285540904026,-0.0291378480692835,"ASV_740","Eukaryota","Chordata","Mammalia","Cetacea","Balaenopteridae","Balaenoptera","Balaenoptera musculus"
"54","ASV_774",0.120310333022655,-0.187334304749579,0.0771032447533571,"ASV_774","Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","unassigned"
"55","ASV_805",0.0604250624860257,-0.118723045209197,0.0395056099406549,"ASV_805","Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"56","ASV_863",0.0270366568855535,0.0121452197634191,-0.0365968845158262,"ASV_863","Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Lampanyctus","Lampanyctus tenuiformis"
"57","ASV_920",0.0407500321377448,0.0974505160034713,0.0467299028568186,"ASV_920","Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"58","ASV_993",0.0235452050302458,-0.117175548341772,0.0146236709783044,"ASV_993","Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"59","ASV_1169",-0.0460443697818922,0.115202952251574,-0.0208112176350076,"ASV_1169","Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"60","ASV_1349",-0.0251470636387813,-0.151605259890985,0.0219410152070565,"ASV_1349","Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","unassigned"
"61","ASV_1391",0.0385712038131097,0.0708240754438594,-0.105817675661132,"ASV_1391","Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","unassigned"
"62","ASV_1397",-0.0596789884881275,0.0309002539614721,0.0744383153850129,"ASV_1397","Eukaryota","Chordata","Mammalia","Cetacea","Delphinidae","Grampus","Grampus griseus"
"63","ASV_1487",0.1124858404062,-0.208197853683534,0.0872320695614251,"ASV_1487","Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","unassigned"
"64","ASV_1593",0.00161461669875429,0.000947008441061275,0.0233514164364949,"ASV_1593","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Sardinops","Sardinops melanostictus"
"65","ASV_1617",0.027702611544754,0.141020941796647,-0.0476934041450521,"ASV_1617","Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","unassigned"
"66","ASV_1643",-0.274171915436425,0.146448468187603,0.099278834789961,"ASV_1643","Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"67","ASV_2318",0.130672159230354,-0.178568453800534,-2.9743317872714e-05,"ASV_2318","Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"68","ASV_3375",0.111361267117108,-0.228434106593198,0.0514292558896725,"ASV_3375","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Sardinops","Sardinops melanostictus"
"69","ASV_4330",-0.201098766423188,-0.0226455663159633,-0.0120088507367522,"ASV_4330","Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"70","ASV_4441",0.0629457319872566,-0.191209191890152,0.0688246563528418,"ASV_4441","Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"71","ASV_6346",0.0148580765800145,0.0253886738840864,-0.044985588754971,"ASV_6346","Eukaryota","Chordata","Mammalia","Cetacea","Delphinidae","unassigned","unassigned"
"72","ASV_7234",-0.084559032860514,0.0120579143547134,0.07060246021897,"ASV_7234","Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"73","ASV_9348",0.00349190409729953,-0.00404404472000569,-0.0129522517748096,"ASV_9348","Eukaryota","Chordata","Mammalia","Cetacea","unassigned","g_","s_"
