#OTUID	CN19Sc29_12_eDNA_RR	CN19Sc31_12_eDNA_RR	CN19Sc34_12_eDNA_RR	CN19Sc36_12_eDNA_RR	CN19Sc38_12_eDNA_RR	CN19Sc28_12_eDNA_RR	CN19Sc30_12_eDNA_RR	CN19Sc37_12_eDNA_RR	CN19Sc37_11_eDNA_RR	CN19SESPMV1_SC58_eDNA_AT	CN19Sc03_12_eDNA_JJ	CN19Sc10_12_eDNA_JJ	CN19Sc12_12_eDNA_JJ	CN19Sc15_12_eDNA_JJ	CN19Sc18_12_eDNA_JJ	CN19Sc21_12_eDNA_JJ	CN19Sc25_12_eDNA_JJ
ASV_831	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
ASV_863	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0
ASV_896	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_898	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0
ASV_913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	5
ASV_920	0	11	134	0	3	0	2	0	0	0	0	0	0	0	0	0	0
ASV_964	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ASV_993	0	0	0	0	0	0	0	0	0	0	15	10	21	18	15	38	11
ASV_1045	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ASV_1058	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ASV_1060	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASV_1113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ASV_1124	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ASV_1137	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ASV_1156	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ASV_1169	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	776
ASV_1213	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
ASV_1254	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
ASV_1306	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	2
ASV_1349	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	4
ASV_1359	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ASV_1364	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
ASV_1388	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ASV_1390	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1391	0	0	0	0	0	0	0	0	0	0	0	0	2778	0	0	0	0
ASV_1395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
