FilterID,local_time,time_label,SAMPLING_cruise,depth,SAMPLING_platform,SC,ESP,SAMPLING_station_number,SAMPLING_station,SAMPLING_bottle,decimalLongitude,decimalLatitude,sample_type,Plates,Markers,Status,Dewar_name,Sampling_method,replicate,SAMPLING_rdepth,project_name,nitrate,fluor,density,pressure,minimumDepthInMeters,maximumDepthInMeters,start_GMT,end_GMT,temp,salinity,sigmat,spice,diss_oxygen,PAR (umol/s/m2),altitude,chlorophyll,bbp470 (count),bbp650 (count),SAMPLING_project,ESP_name,diel,month,day,hour,eventDate
CN19SESPMV1_SC53_eDNA,5/30/19 12:20,05-30 day,CN19S,47.5118,daphne,53,MV1,,,,-122.1857,36.7078,environmental,"AD,XX,AC,YY,AE","12S,COI,12S,COI,18S",Tube Extracts (racks E-G),,ESP,,,,,,,,43.8535,51.1701,5/30/19 19:20,5/30/19 19:43,10.1783,33.6389,25.8599,0.0927,5316.8023,10.8367,862.8086,0.1859,77.6729,66.3224,CANON,,day,5,30,12,5/30/19 19:20
CN19Sc01_12_eDNA,5/30/19 19:23,05-30 transition,CN19S,0,WESTERN FLYER,,,1,C1,12,-121.8488,36.7967,environmental,"JJ,KK,LL","12S,COI,18S","Filters (racks A-D),Tube Extracts (racks E-G)",,CTD,,1.219,CANON,0.132,0.2392,24.987,1.228,,,,,14.1109,33.4766,,,,,,5.4804,,,,,transition,5,30,19,5/31/19 2:23
CN19Sc01_12_hplc,5/30/19 19:23,05-30 transition,CN19S,0,WESTERN FLYER,,,1,C1,12,-121.8488,36.7967,environmental,,,,CN19Sc01 #12-hplc,CTD,,1.219,CANON,0.132,0.2392,24.987,1.228,,,,,14.1109,33.4766,,,,,,5.4804,,,,,transition,5,30,19,5/31/19 2:23
CN19Sc01_09_eDNA,5/30/19 19:23,05-30 transition,CN19S,20,WESTERN FLYER,,,1,C1,9,-121.8488,36.7967,environmental,,,Filters (racks A-D),,CTD,,20.311,CANON,17.994,0.0769,25.7256,20.463,,,,,10.9206,33.633,,,,,,1.4219,,,,,transition,5,30,19,5/31/19 2:23
CN19Sc01_03_eDNA,5/30/19 19:23,05-30 transition,CN19S,150,WESTERN FLYER,,,1,C1,3,-121.8488,36.7967,environmental,,,Filters (racks A-D),,CTD,,150.331,CANON,29.233,0.0354,26.4727,151.504,,,,,8.2509,34.0247,,,,,,0.3852,,,,,transition,5,30,19,5/31/19 2:23
CN19Sc01_04_eDNA,5/30/19 19:23,05-30 transition,CN19S,100,WESTERN FLYER,,,1,C1,4,-121.8488,36.7967,environmental,,,Filters (racks A-D),,CTD,,98.374,CANON,28.45,0.0391,26.3575,99.129,,,,,8.7116,33.9687,,,,,,0.4768,,,,,transition,5,30,19,5/31/19 2:23
CN19Sc01_06_eDNA,5/30/19 19:23,05-30 transition,CN19S,60,WESTERN FLYER,,,1,C1,6,-121.8488,36.7967,environmental,,,Filters (racks A-D),,CTD,,60.274,CANON,23.083,0.0512,26.2754,60.731,,,,,9.0156,33.9257,,,,,,0.7814,,,,,transition,5,30,19,5/31/19 2:23
CN19Sc01_12_astar,5/30/19 19:23,05-30 transition,CN19S,0,WESTERN FLYER,,,1,C1,12,-121.8488,36.7967,environmental,,,,CN19Sc01 #12-A*,CTD,,1.219,CANON,0.132,0.2392,24.987,1.228,,,,,14.1109,33.4766,,,,,,5.4804,,,,,transition,5,30,19,5/31/19 2:23
CN19Sc02_03_eDNA,5/30/19 21:13,05-30 night,CN19S,160,WESTERN FLYER,,,2,MOORING1,3,-122.0185,36.7347,environmental,,,Filters (racks A-D),,CTD,,158.154,CANON,24.859,0.0353,26.5568,159.39,,,,,7.986,34.0813,,,,,,0.3821,,,,,night,5,30,21,5/31/19 4:13
CN19Sc02_04_eDNA,5/30/19 21:13,05-30 night,CN19S,100,WESTERN FLYER,,,2,MOORING1,4,-122.0185,36.7347,environmental,,,Filters (racks A-D),,CTD,,100.586,CANON,22.278,0.0338,26.3843,101.358,,,,,8.6421,33.9892,,,,,,0.3441,,,,,night,5,30,21,5/31/19 4:13
