"","SampleID","PC1","PC2","PC3","FilterID","target_gene","PlateID","library","local_time","time_label","SAMPLING_cruise","depth","SAMPLING_platform","SC","ESP","SAMPLING_station_number","SAMPLING_station","SAMPLING_bottle","decimalLongitude","decimalLatitude","sample_type","Plates","Markers","Status","Dewar_name","Sampling_method","replicate","SAMPLING_rdepth","project_name","nitrate","fluor","density","pressure","minimumDepthInMeters","maximumDepthInMeters","start_GMT","end_GMT","temp","salinity","sigmat","spice","diss_oxygen","PAR (umol/s/m2)","altitude","chlorophyll","bbp470 (count)","bbp650 (count)","SAMPLING_project","ESP_name","diel","month","day","hour","eventDate","time","time_since","year","jday","month_char","year_char","depth_bin"
"11","CN19Sc31_11_eDNA_RR",0.0651612960321899,-0.0272425028880808,0.107016484817789,"CN19Sc31_11_eDNA",12,"RR","RR15","6/3/19 18:05","06-03 transition","CN19S",40,"WESTERN FLYER",NA,"CTD",31,"MARS",11,-122.1982,36.712,"environmental","SS,RR,PP","18S,12S,COI","Tube Extracts (racks E-G),Filters (racks A-D)",NA,"CTD",NA,39.863,"CANON",17.472,0.0449,25.7375,40.162,NA,NA,NA,NA,10.48,33.5485,NA,NA,NA,NA,NA,0.6226,NA,NA,NA,NA,"transition",6,3,18,2019-06-04 01:05:00,2019-06-03 18:05:00,1559585100,2019,154,"6","2019","0-50m"
"12","CN19Sc31_10_eDNA_RR",0.10838039809238,-0.113790044670087,-0.0893180675937852,"CN19Sc31_10_eDNA",12,"RR","RR16","6/3/19 18:05","06-03 transition","CN19S",80,"WESTERN FLYER",NA,"CTD",31,"MARS",10,-122.1982,36.712,"environmental","SS,RR,PP","18S,12S,COI","Tube Extracts (racks E-G),Filters (racks A-D)",NA,"CTD",NA,80.115,"CANON",23.778,0.0371,26.0761,80.726,NA,NA,NA,NA,9.6132,33.7938,NA,NA,NA,NA,NA,0.4282,NA,NA,NA,NA,"transition",6,3,18,2019-06-04 01:05:00,2019-06-03 18:05:00,1559585100,2019,154,"6","2019","50-100m"
"13","CN19Sc31_7_eDNA_RR",0.00153639187091668,-0.0317057691794166,0.0988177277945791,"CN19Sc31_07_eDNA",12,"RR","RR19","6/3/19 18:05","06-03 transition","CN19S",200,"WESTERN FLYER",NA,"CTD",31,"MARS",7,-122.1982,36.712,"environmental","SS,RR,PP","18S,12S,COI","Filters (racks A-D),Tube Extracts (racks E-G)",NA,"CTD",NA,199.856,"CANON",28.373,0.0354,26.5156,201.438,NA,NA,NA,NA,8.0527,34.0407,NA,NA,NA,NA,NA,0.3852,NA,NA,NA,NA,"transition",6,3,18,2019-06-04 01:05:00,2019-06-03 18:05:00,1559585100,2019,154,"6","2019","100-200m"
"14","CN19Sc31_6_eDNA_RR",-0.0355209197731559,0.0639149487671505,0.107470519702317,"CN19Sc31_06_eDNA",12,"RR","RR20","6/3/19 18:05","06-03 transition","CN19S",245,"WESTERN FLYER",NA,"CTD",31,"MARS",6,-122.1982,36.712,"environmental","SS,RR,PP","18S,12S,COI","Tube Extracts (racks E-G),Filters (racks A-D)",NA,"CTD",NA,245.303,"CANON",29.818,0.0337,26.5798,247.272,NA,NA,NA,NA,7.8311,34.0801,NA,NA,NA,NA,NA,0.341,NA,NA,NA,NA,"transition",6,3,18,2019-06-04 01:05:00,2019-06-03 18:05:00,1559585100,2019,154,"6","2019","200-300m"
"15","CN19Sc31_5_eDNA_RR",-0.0100753968435552,-0.0284521782578996,0.158059114712888,"CN19Sc31_05_eDNA",12,"RR","RR21","6/3/19 18:05","06-03 transition","CN19S",300,"WESTERN FLYER",NA,"CTD",31,"MARS",5,-122.1982,36.712,"environmental","SS,RR,PP","18S,12S,COI","Tube Extracts (racks E-G),Filters (racks A-D)",NA,"CTD",NA,299.466,"CANON",32.8,0.0343,26.6621,301.91,NA,NA,NA,NA,7.4932,34.1218,NA,NA,NA,NA,NA,0.3572,NA,NA,NA,NA,"transition",6,3,18,2019-06-04 01:05:00,2019-06-03 18:05:00,1559585100,2019,154,"6","2019","200-300m"
"16","CN19Sc31_4_eDNA_RR",0.0968379095910104,-0.0720623850041046,-0.0696242469313332,"CN19Sc31_04_eDNA",12,"RR","RR22","6/3/19 18:05","06-03 transition","CN19S",400,"WESTERN FLYER",NA,"CTD",31,"MARS",4,-122.1982,36.712,"environmental","SS,RR,PP","18S,12S,COI","Tube Extracts (racks E-G),Filters (racks A-D)",NA,"CTD",NA,399.15,"CANON",32.934,0.0392,26.8257,402.505,NA,NA,NA,NA,6.5661,34.1667,NA,NA,NA,NA,NA,0.4793,NA,NA,NA,NA,"transition",6,3,18,2019-06-04 01:05:00,2019-06-03 18:05:00,1559585100,2019,154,"6","2019","300-400m"
"17","CN19Sc31_3_eDNA_RR",-0.105466909552119,0.0709296203278278,-0.114938072244209,"CN19Sc31_03_eDNA",12,"RR","RR23","6/3/19 18:05","06-03 transition","CN19S",500,"WESTERN FLYER",NA,"CTD",31,"MARS",3,-122.1982,36.712,"environmental","SS,RR,PP","18S,12S,COI","Filters (racks A-D),Tube Extracts (racks E-G)",NA,"CTD",NA,500.186,"CANON",38.275,0.0374,26.9637,504.513,NA,NA,NA,NA,5.9246,34.2357,NA,NA,NA,NA,NA,0.4357,NA,NA,NA,NA,"transition",6,3,18,2019-06-04 01:05:00,2019-06-03 18:05:00,1559585100,2019,154,"6","2019","400-500m"
"18","CN19Sc34_12_eDNA_RR",0.0808540400717398,0.0900293155475644,-0.0526667239343684,"CN19Sc34_12_eDNA",12,"RR","RR26","6/4/19 0:07","06-04 night","CN19S",0,"WESTERN FLYER",NA,"CTD",34,"MARS",12,-122.1988,36.7125,"environmental","SS,RR,PP","18S,12S,COI","Tube Extracts (racks E-G),Filters (racks A-D)",NA,"CTD",NA,3.353,"CANON",0.098,0.0844,24.2764,3.377,NA,NA,NA,NA,13.6788,32.4416,NA,NA,NA,NA,NA,1.6093,NA,NA,NA,NA,"night",6,4,0,2019-06-04 07:07:00,2019-06-04 00:07:00,1559606820,2019,155,"6","2019","0-50m"
"19","CN19Sc34_9_eDNA_RR",0.122729973098409,0.0485201556032494,-0.05775892476595,"CN19Sc34_09_eDNA",12,"RR","RR28","6/4/19 0:07","06-04 night","CN19S",100,"WESTERN FLYER",NA,"CTD",34,"MARS",9,-122.1988,36.7125,"environmental","SS,RR,PP","18S,12S,COI","Filters (racks A-D),Tube Extracts (racks E-G)",NA,"CTD",NA,101.026,"CANON",24.879,0.0354,26.2082,101.802,NA,NA,NA,NA,9.2853,33.894,NA,NA,NA,NA,NA,0.3846,NA,NA,NA,NA,"night",6,4,0,2019-06-04 07:07:00,2019-06-04 00:07:00,1559606820,2019,155,"6","2019","50-100m"
"20","CN19Sc34_8_eDNA_RR",0.00461945868560963,0.0121970243870063,0.14904603669971,"CN19Sc34_08_eDNA",12,"RR","RR29","6/4/19 0:07","06-04 night","CN19S",125,"WESTERN FLYER",NA,"CTD",34,"MARS",8,-122.1988,36.7125,"environmental","SS,RR,PP","18S,12S,COI","Filters (racks A-D),Tube Extracts (racks E-G)",NA,"CTD",NA,123.278,"CANON",27.585,0.0354,26.3016,124.23,NA,NA,NA,NA,9.0022,33.955,NA,NA,NA,NA,NA,0.3852,NA,NA,NA,NA,"night",6,4,0,2019-06-04 07:07:00,2019-06-04 00:07:00,1559606820,2019,155,"6","2019","100-200m"
