timeofday,GroupCount,mean_SW_flux,std_SW_flux
00:05:23,9,1.74488750512399,0.383993246661851
00:20:23,9,1.62709756228246,0.334714485609469
00:35:23,9,1.6542309429794,0.245070589631274
00:50:23,9,1.70579422426509,0.270289063529544
01:05:23,9,1.57932773188962,0.277075785694748
01:20:23,9,1.61730629597872,0.242684591022902
01:35:23,9,1.50687353357625,0.23125307810591
01:50:23,9,1.46275849669606,0.299440688977166
02:05:23,9,1.65645162883459,0.43794866392788
02:20:23,9,1.5663302887934,0.270777521653348
02:35:23,9,1.46250689468378,0.376751157760633
02:50:23,9,1.45313378377199,0.426748085929424
03:05:23,9,1.47909760642677,0.463085472185342
03:20:23,9,1.59987184492257,0.391843532922562
03:35:23,9,1.4237987005964,0.407945568295983
03:50:23,9,1.34671186075309,0.323882840995339
04:05:23,9,1.46744208334482,0.47633067459101
04:20:23,9,1.27504592452256,0.331051260993307
04:35:23,9,1.18534892281147,0.404129815942488
04:50:23,9,1.39353862388906,0.498017964172201
05:05:23,9,1.28975452870416,0.646408393589361
05:20:23,9,1.15037764688088,0.688104470347258
05:35:23,9,1.36952179414285,0.949631498782395
05:50:23,9,3.66310854318538,1.74385684943294
06:05:23,9,9.37740700249972,6.17952096153506
06:20:23,9,16.1739222985337,10.6294262923027
06:35:23,9,26.0427087163213,11.0694682702604
06:50:23,9,47.5713292043942,30.6228397818308
07:05:23,9,85.5156823436137,68.9167070338318
07:20:23,9,110.25609868028,92.2142408829692
07:35:23,9,112.454358584086,58.471479959941
07:50:23,9,150.50924811712,106.75877483627
08:05:23,9,208.228260800503,146.627867943245
08:20:23,9,230.778305925711,128.648228442669
08:35:23,9,262.068057211459,148.603076038242
08:50:23,9,303.172389415354,200.862044102325
09:05:23,9,326.07543198031,207.290346729512
09:20:23,9,344.213805740226,213.50517934943
09:35:23,9,356.779777814017,194.879622798386
09:50:23,9,398.920379173343,241.477708186891
10:05:23,9,447.824841524028,265.105031990235
10:20:23,9,455.328876246598,217.655761049236
10:35:23,9,507.536791679961,218.141907049155
10:50:23,9,602.094690565734,266.380233603832
11:05:23,9,623.386364925647,297.426114263165
11:20:23,9,597.759511052975,274.496238912306
11:35:23,9,614.265132224349,270.409946441709
11:50:23,9,663.125679464943,270.065743389881
12:05:23,9,709.096426335346,257.898233427079
12:20:23,9,731.682903819766,238.541529306186
12:35:23,9,730.153016504274,252.929598964951
12:50:23,9,750.658179931483,264.470149513707
13:05:23,9,771.961415909582,258.791924431423
13:20:23,9,750.920298885331,265.980148504426
13:35:23,9,755.82868974567,262.337546900798
13:50:23,9,788.667550368164,247.856621922468
14:05:23,9,795.862653761494,231.67398504555
14:20:23,9,786.329054841834,236.387681151644
14:35:23,9,763.463065691076,247.052323102275
14:50:23,9,748.793744723491,208.41325757012
15:05:23,9,726.388155002512,197.793581823647
15:20:23,9,663.504404733442,187.943700842837
15:35:23,9,615.976714717388,190.124538346643
15:50:23,9,590.071755534043,224.825914377631
16:05:23,9,570.971926616958,204.713999985873
16:20:23,9,571.405444312093,199.650704760041
16:35:23,9,524.290456230038,166.007798601242
16:50:23,9,416.394088903201,170.521111197389
17:05:23,9,338.845389060698,151.287861155162
17:20:23,9,299.132052630394,118.144669536721
17:35:23,9,256.284089639213,96.9011351123791
17:50:23,9,230.573858653498,96.9340381807534
18:05:23,9,215.628063208496,94.8032470844727
18:20:23,9,174.724082837923,72.5504173142653
18:35:23,9,135.402369444501,58.4869717067662
18:50:23,9,111.746629913943,52.4006708475747
19:05:23,9,82.0822553593151,36.6040829999016
19:20:23,9,55.6101808791062,20.4464301630405
19:35:23,9,37.9671039437341,14.2306380243415
19:50:23,9,22.7847059337238,9.19789382603333
20:05:23,9,12.5231360847009,4.77441714276482
20:20:23,9,5.31490283076868,2.65787830486606
20:35:23,9,1.97096212782455,1.57318197944242
20:50:23,9,1.65478785659569,0.746056504878694
21:05:23,9,1.66813503347735,0.179680619201453
21:20:23,9,1.69546586009572,0.634421467272203
21:35:23,9,1.72523418305745,0.520231130023111
21:50:23,9,1.78133796499996,0.30961841467915
22:05:23,9,1.82330762896928,0.379674194611139
22:20:23,9,1.67247321445429,0.287220761241099
22:35:23,9,1.75887711542642,0.274616945321721
22:50:23,9,1.71185481679632,0.248318877684591
23:05:23,9,1.54602966983799,0.180628208992434
23:20:23,9,1.68981912563774,0.253837180440075
23:35:23,9,1.63278570603618,0.434519497457746
23:50:23,8,1.73628106379264,0.548319913071431
