#OTUID	CN19SESPKOA_SC03_eDNA_BK	CN19SESPKOA_SC04_eDNA_BK	CN19SESPKOA_SC05_eDNA_BK	CN19SESPKOA_SC06_eDNA_BK	CN19SESPKOA_SC07_eDNA_BK	CN19SESPKOA_SC08_eDNA_BK	CN19SESPKOA_SC09_eDNA_BK	CN19SESPKOA_SC10_eDNA_BK	CN19SESPKOA_SC11_eDNA_BK	CN19SESPKOA_SC34_eDNA_BK	CN19SESPKOA_SC35_eDNA_BK	CN19SESPKOA_SC36_eDNA_BK	CN19SESPKOA_SC37_eDNA_BK	CN19SESPKOA_SC38_eDNA_BK	CN19SESPKOA_SC39_eDNA_BK	CN19SESPKOA_SC40_eDNA_BK	CN19SESPKOA_SC41_eDNA_BK	CN19SESPKOA_SC42_eDNA_BK	CN19SESPKOA_SC43_eDNA_BK	CN19SESPKOA_SC44_eDNA_BK	CN19SESPKOA_SC45_eDNA_BK	CN19SESPKOA_SC46_eDNA_BK	CN19SESPKOA_SC47_eDNA_BK	CN19SESPKOA_SC48_eDNA_BK	CN19SESPKOA_SC49_eDNA_BK	CN19SESPKOA_SC50_eDNA_BK	CN19SESPKOA_SC51_eDNA_BK	CN19SESPKOA_SC52_eDNA_BK	CN19SESPKOA_SC53_eDNA_BK	CN19SESPKOA_SC54_eDNA_BK	CN19SESPKOA_SC55_eDNA_BK	CN19SESPKOA_SC56_eDNA_BK	CN19SESPKOA_SC57_eDNA_BK	CN19SESPKOA_SC58_eDNA_BK	CN19SESPMV1_SC20_eDNA_BI	CN19SESPMV1_SC21_eDNA_BI	CN19SESPMV1_SC22_eDNA_BI	CN19SESPMV1_SC23_eDNA_BI	CN19SESPMV1_SC24_eDNA_BI	CN19SESPMV1_SC25_eDNA_BI	CN19SESPMV1_SC26_eDNA_BK	CN19SESPMV1_SC27_eDNA_BK	CN19SESPMV1_SC28_eDNA_BK	CN19SESPMV1_SC29_eDNA_BK	CN19SESPMV1_SC31_eDNA_BK	CN19SESPMV1_SC32_eDNA_BK	CN19SESPMV1_SC33_eDNA_BK	CN19SESPMV1_SC34_eDNA_BK	CN19SESPMV1_SC35_eDNA_BK	CN19SESPMV1_SC36_eDNA_BK	CN19SESPMV1_SC37_eDNA_BK	CN19SESPMV1_SC43_eDNA_BK	CN19SESPMV1_SC44_eDNA_BK	CN19SESPMV1_SC45_eDNA_BK	CN19SESPMV1_SC48_eDNA_BK	CN19SESPMV1_SC49_eDNA_BK	CN19SESPMV1_SC50_eDNA_BK	CN19SESPMV1_SC51_eDNA_BK	CN19SESPMV1_SC52_eDNA_BK	CN19SESPMV1_SC53_eDNA_BK	CN19SESPMV1_SC54_eDNA_BK	CN19SESPMV1_SC55_eDNA_BK	CN19SESPMV1_SC58_eDNA_BK	CN19S_V4195_D1_eDNA_BI	CN19S_V4195_D2_eDNA_BI	CN19S_V4195_D3_eDNA_BI	CN19S_V4195_D4_eDNA_BI	CN19S_V4195_D5_eDNA_BI	CN19S_V4195_D6_eDNA_BI	CN19S_V4195_D7_eDNA_BI	CN19S_V4195_D8_eDNA_BI	CN19S_V4195_N1_eDNA_BI	CN19S_V4195_N5_eDNA_BI	CN19S_V4195_N6_eDNA_BI	CN19S_V4195_N7_eDNA_BI	CN19S_V4195_N8_eDNA_BI	CN19S_V4196_D1_eDNA_BI	CN19S_V4196_D2_eDNA_BI	CN19S_V4196_D3_eDNA_BI	CN19S_V4196_D4_eDNA_BI	CN19S_V4196_D7_eDNA_BI	CN19S_V4196_N1_eDNA_BI	CN19S_V4196_N2_eDNA_BI	CN19S_V4196_N3_eDNA_BI	CN19S_V4196_N4_eDNA_BI	CN19S_V4196_N5_eDNA_BI	CN19S_V4196_N6_eDNA_BI	CN19S_V4196_N7_eDNA_BI	CN19S_V4196_N8_eDNA_BI	CN19Sc03_1_eDNA_JJ	CN19Sc03_3_eDNA_JJ	CN19Sc03_4_eDNA_JJ	CN19Sc03_5_eDNA_JJ	CN19Sc03_7_eDNA_JJ	CN19Sc03_9_eDNA_JJ	CN19Sc03_10_eDNA_JJ	CN19Sc03_12_eDNA_JJ	CN19Sc10_1_eDNA_JJ	CN19Sc10_2_eDNA_JJ	CN19Sc10_3_eDNA_JJ	CN19Sc10_4_eDNA_JJ	CN19Sc10_5_eDNA_JJ	CN19Sc10_7_eDNA_JJ	CN19Sc10_9_eDNA_JJ	CN19Sc10_10_eDNA_JJ	CN19Sc10_12_eDNA_JJ	CN19Sc11_5_eDNA_JJ	CN19Sc11_7_eDNA_JJ	CN19Sc11_10_eDNA_JJ	CN19Sc12_1_eDNA_JJ	CN19Sc12_2_eDNA_JJ	CN19Sc12_3_eDNA_JJ	CN19Sc12_4_eDNA_JJ	CN19Sc12_5_eDNA_JJ	CN19Sc12_7_eDNA_JJ	CN19Sc12_9_eDNA_JJ	CN19Sc12_10_eDNA_JJ	CN19Sc12_12_eDNA_JJ	CN19Sc13_5_eDNA_JJ	CN19Sc13_7_eDNA_JJ	CN19Sc13_10_eDNA_JJ	CN19Sc15_1_eDNA_JJ	CN19Sc15_2_eDNA_JJ	CN19Sc15_3_eDNA_JJ	CN19Sc15_4_eDNA_JJ	CN19Sc15_5_eDNA_JJ	CN19Sc15_7_eDNA_JJ	CN19Sc15_9_eDNA_JJ	CN19Sc15_10_eDNA_JJ	CN19Sc15_12_eDNA_JJ	CN19Sc16_5_eDNA_JJ	CN19Sc16_9_eDNA_JJ	CN19Sc16_10_eDNA_JJ	CN19Sc18_2_eDNA_JJ	CN19Sc18_3_eDNA_JJ	CN19Sc18_4_eDNA_JJ	CN19Sc18_5_eDNA_JJ	CN19Sc18_7_eDNA_JJ	CN19Sc18_8_eDNA_JJ	CN19Sc18_9_eDNA_JJ	CN19Sc18_10_eDNA_JJ	CN19Sc18_12_eDNA_JJ	CN19Sc20_6_eDNA_JJ	CN19Sc20_9_eDNA_JJ	CN19Sc20_10_eDNA_JJ	CN19Sc21_1_eDNA_JJ	CN19Sc21_2_eDNA_JJ	CN19Sc21_3_eDNA_JJ	CN19Sc21_4_eDNA_JJ	CN19Sc21_5_eDNA_JJ	CN19Sc21_6_eDNA_JJ	CN19Sc21_9_eDNA_JJ	CN19Sc21_10_eDNA_JJ	CN19Sc21_12_eDNA_JJ	CN19Sc22_2_eDNA_JJ	CN19Sc22_4_eDNA_JJ	CN19Sc22_8_eDNA_JJ	CN19Sc23_6_eDNA_JJ	CN19Sc23_8_eDNA_JJ	CN19Sc23_10_eDNA_JJ	CN19Sc24_04_eDNA_BI	CN19Sc24_09_eDNA_BI	CN19Sc25_1_eDNA_JJ	CN19Sc25_2_eDNA_JJ	CN19Sc25_4_eDNA_JJ	CN19Sc25_5_eDNA_JJ	CN19Sc25_6_eDNA_JJ	CN19Sc25_7_eDNA_JJ	CN19Sc25_9_eDNA_JJ	CN19Sc25_10_eDNA_JJ	CN19Sc25_12_eDNA_JJ	CN19Sc26_02_eDNA_BI	CN19Sc26_04_eDNA_BI	CN19Sc26_09_eDNA_BI	CN19Sc27_5_eDNA_JJ	CN19Sc27_6_eDNA_JJ	CN19Sc27_10_eDNA_JJ	CN19Sc28_1_eDNA_RR	CN19Sc28_2_eDNA_RR	CN19Sc28_3_eDNA_RR	CN19Sc28_4_eDNA_RR	CN19Sc28_5_eDNA_RR	CN19Sc28_6_eDNA_RR	CN19Sc28_7_eDNA_RR	CN19Sc28_8_eDNA_RR	CN19Sc28_9_eDNA_RR	CN19Sc28_10_eDNA_RR	CN19Sc28_11_eDNA_RR	CN19Sc28_12_eDNA_RR	CN19Sc29_1_eDNA_RR	CN19Sc29_2_eDNA_RR	CN19Sc29_3_eDNA_RR	CN19Sc29_4_eDNA_RR	CN19Sc29_5_eDNA_RR	CN19Sc29_6_eDNA_RR	CN19Sc29_7_eDNA_RR	CN19Sc29_8_eDNA_RR	CN19Sc29_9_eDNA_RR	CN19Sc29_10_eDNA_RR	CN19Sc29_11_eDNA_RR	CN19Sc29_12_eDNA_RR	CN19Sc30_1_eDNA_RR	CN19Sc30_2_eDNA_RR	CN19Sc30_3_eDNA_RR	CN19Sc30_4_eDNA_RR	CN19Sc30_5_eDNA_RR	CN19Sc30_6_eDNA_RR	CN19Sc30_7_eDNA_RR	CN19Sc30_8_eDNA_RR	CN19Sc30_9_eDNA_RR	CN19Sc30_10_eDNA_RR	CN19Sc30_11_eDNA_RR	CN19Sc30_12_eDNA_RR	CN19Sc31_1_eDNA_RR	CN19Sc31_2_eDNA_RR	CN19Sc31_3_eDNA_RR	CN19Sc31_4_eDNA_RR	CN19Sc31_5_eDNA_RR	CN19Sc31_6_eDNA_RR	CN19Sc31_7_eDNA_RR	CN19Sc31_8_eDNA_RR	CN19Sc31_9_eDNA_RR	CN19Sc31_10_eDNA_RR	CN19Sc31_11_eDNA_RR	CN19Sc31_12_eDNA_RR	CN19Sc32_02_eDNA_BI	CN19Sc32_05_eDNA_BI	CN19Sc34_1_eDNA_RR	CN19Sc34_2_eDNA_RR	CN19Sc34_4_eDNA_RR	CN19Sc34_6_eDNA_RR	CN19Sc34_7_eDNA_RR	CN19Sc34_8_eDNA_RR	CN19Sc34_9_eDNA_RR	CN19Sc34_11_eDNA_RR	CN19Sc34_12_eDNA_RR	CN19Sc35_02_eDNA_BI	CN19Sc35_09_eDNA_BI	CN19Sc36_1_eDNA_RR	CN19Sc36_2_eDNA_RR	CN19Sc36_4_eDNA_RR	CN19Sc36_6_eDNA_RR	CN19Sc36_7_eDNA_RR	CN19Sc36_8_eDNA_RR	CN19Sc36_9_eDNA_RR	CN19Sc36_11_eDNA_RR	CN19Sc36_12_eDNA_RR	CN19Sc37_1_eDNA_RR	CN19Sc37_2_eDNA_RR	CN19Sc37_3_eDNA_RR	CN19Sc37_4_eDNA_RR	CN19Sc37_5_eDNA_RR	CN19Sc37_6_eDNA_RR	CN19Sc37_7_eDNA_RR	CN19Sc37_8_eDNA_RR	CN19Sc37_9_eDNA_RR	CN19Sc37_10_eDNA_RR	CN19Sc37_11_eDNA_RR	CN19Sc37_12_eDNA_RR	CN19Sc38_1_eDNA_RR	CN19Sc38_2_eDNA_RR	CN19Sc38_3_eDNA_RR	CN19Sc38_4_eDNA_RR	CN19Sc38_5_eDNA_RR	CN19Sc38_6_eDNA_RR	CN19Sc38_7_eDNA_RR	CN19Sc38_8_eDNA_RR	CN19Sc38_9_eDNA_RR	CN19Sc38_10_eDNA_RR	CN19Sc38_11_eDNA_RR	CN19Sc38_12_eDNA_RR	CN19Sc39_01_eDNA_BI	CN19Sc39_02_eDNA_BI	CN19Sc39_03_eDNA_BI	CN19Sc39_04_eDNA_BI	CN19Sc39_05_eDNA_BI	CN19Sc39_06_eDNA_BI	CN19Sc39_07_eDNA_BI	CN19Sc39_09_eDNA_BI	CN19Sc39_10_eDNA_BI	CN19Sc39_11_eDNA_BI
ASV_1	26781	2051	25071	33263	59732	50012	53221	309	57706	14478	16679	39872	42731	323	224	34770	318	21039	12273	179	58323	2398	132	204	50138	318	23251	33707	360	46100	26370	29003	370	44688	26894	31568	7913	34487	54578	19103	52554	47982	198	58036	56213	6011	30653	65251	314	28742	19816	390	13000	32082	8545	58038	36582	150	40185	71505	9703	172	40402	30665	77	166	92	87	15279	149	313	1542	25011	53711	287	49503	58567	43669	17203	21834	142	71035	203	209	266	12115	18319	26394	143	32	56	7974	10292	4317	22396	39417	18279	3764	119	1904	48	8986	68	7065	37576	15821	5610	2645	11768	76	72	49	80	3626	32	7962	16729	16061	11328	7552	18228	79	84	50	8631	39	94	17200	6836	35361	42	7534	12738	10864	44	58	106	20445	6284	5489	12284	33079	94	51	25577	104	11200	75	76	12085	8986	11999	23938	42690	64	7935	21621	11066	7518	3137	48593	31249	12971	156	4652	13620	42	12340	20299	49063	35694	8511	439	49275	7297	11770	22379	70	50	10217	19597	23	11418	112	24362	15454	22915	47110	22402	49	58	77	19	43295	160	75	13390	12520	10903	30798	24891	8958	6586	6123	7624	15609	48	2155	7652	32352	12819	34267	36720	18	25	40	65	11244	47	17725	6790	18	29557	24266	34527	13120	8225	42573	91	37	14711	31930	67	16189	39461	49669	88	29006	74	70	55	17	37	9493	23065	24036	62611	2888	48	37	11239	3173	7036	4221	7954	32207	19232	37494	20600	26	28	37	49	17917	43	10698	18	13005	19086	7703	27707	158	153	227	42734	54951	16340	30048	30409	42853	55099
ASV_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1383	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_6	5	9	4	0	2	15	4202	1	10	9	1410	131	7	21198	16876	5	7	5140	15	1197	6	18	10443	2	200	13291	4467	1	7940	8	9	1000	193	18	1	491	4977	11	889	2073	1	0	3261	6	2839	448	272	6	28066	14	6	24045	23	14	290	5	15	21	52	11	4263	11705	2	22	0	1	3703	9	21	31484	8297	28230	3	6	7905	9	15	55	1476	386	2	6	48	11	17514	13	306	63	4	4439	0	2594	710	6	6	4	1	1	3	873	2219	2054	21	546	719	42	6643	419	7	13413	5	5	2	472	1072	241	3	10	15	494	991	6	142	1177	164	1858	3	484	4	9	5408	9	5	1636	4	1	16	1487	5	4	0	5	13	3	2	12	2096	29	19185	6	2	1	2	7	3765	6	3	3	2264	97	9766	36	147	8323	2	4461	2	1	7	0	7	2475	11670	15	25	6897	10	745	2	579	11	989	1	228	0	1	0	3	0	12636	9	22080	2	1434	378	32273	773	6	2	11	0	425	1	2169	2	0	5	0	8	0	0	1	1	1	5	11675	982	1717	72	10610	1685	532	3	5	4	1225	398	2	5870	1	4283	4	0	1	2	10	2	19	3	2772	3346	273	1508	0	3	12	5	2060	715	6	2564	0	0	3	1	12	3	1	12	0	1	2	2	6	1	904	0	951	1	6	25	47368	21915	895	485	1893	8	2	8	16	9
ASV_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	1	0	0	3	0	0	0	1	10	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0
ASV_8	0	0	5	3	4	2788	15	6	0	1	9	2	47	25748	17	3	19	19	11644	15	2	8	13	6	0	22	4	0	0	1072	18	8	2	0	2589	1669	16	1	5	3	0	11038	3	0	0	2	0	7306	16	23	113	1	5	15	110	4	3409	41934	11	3	3924	10	884	12	4	5	1	0	7	4	32	109	8960	3	1	2	7	4	30	6088	11	2	5	1	15	12449	28	16	3	0	3	7	1832	1	3	499	3	4	0	1167	9664	2	1	3	1	0	505	12	1	2	1	2211	63	2232	0	4110	15	0	1	0	2541	2	3	4	0	12	8	47	2	4	2	7	4	1	41	26411	14174	6	3622	6295	71	0	5	1	7	13	2	8477	10939	7	7	2	11	13	1	2	3	25	4	2032	5	2993	3	3	2	52	1	5	0	5	4	14	13	109	5	5	53	7099	2	8	0	6	3	8514	62	866	5660	2	4	4	6	1	10093	1	5	2	3	3	5	0	11	3583	6911	4	1	1736	1	222	53	2	9	4	1	3	8	14692	11	11	0	10	1	13	6	2	1	38	7883	15133	2	14	0	0	6	3	9	2	4	2	1	7	58	4095	28	4	1	4	9	3065	2700	10088	0	3244	3447	6833	61	1832	1835	6	1	5	8	4	5774	1	11	3435	2	0	0	1	6	2	0	13114	5	24	7575	5	7	7	6
ASV_10	0	3	4	13349	1	0	0	11	0	9	10955	22	2	0	0	5267	0	6	6	10039	2	0	0	14	0	8	3	11	0	0	0	9	1	60	1	10	12	11792	12	0	1	7	20433	1	4	12	8	1259	0	0	3970	0	7	1	8	2	0	0	14	2	13168	4	0	0	0	0	3	7	7116	1	5	165	1	5970	13069	13	22	0	6611	1	0	0	6	3	12	19	7	0	0	4	2	0	5	108	1	1001	1	6763	0	5	1	9	2	7668	3	2	2	1495	4990	4	0	5	5	1	7518	2	15	14	5	3	4	2	3	2	2	3	5847	5146	3	3	5	9	13551	1	7	4	17	1	5307	9120	1492	3	3	2	6	7	7	0	4	4	3	5717	12	8451	2	0	9	1	2	0	0	4011	4	5	2	3	3	3	5	1	3	12	25359	6	3	12031	5	19989	4	0	1	4	1	11872	10	9062	0	3	0	5	0	1	0	12	0	16	10	7	0	1	1	0	5	0	6656	8	5	5	3854	4644	1	0	13	0	9	2	504	17	7	0	1	0	7107	0	8	3	0	0	2	1	0	8	3	14	0	2	0	2	38092	0	3	0	9	0	26	13458	14	8	9	3	6044	1	2813	0	4336	4	1	0	0	28577	4	27	26479	5	2	3	3945	11	4	9757	13	5	11	14368	0	1	0	0	3	9	1
ASV_11	0	1	1	0	2	0	1	13	0	1	1	1	0	0	1	5989	0	0	1	0	0	0	0	5	0	0	1	0	0	0	1	5	1	1736	0	0	1	0	0	14	1	6980	9	0	0	0	0	0	0	1	5	0	0	252	1	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	84	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	800	10	895	0	1	0	1	0	0	0	0	0	0	0	1	0	0	5	0	0	0	74	0	0	1	0	2	0	0	3	1	0	0	1	0	0	0	0	3246	0	0	0	0	1	0	0	0	0	0	0	3058	1	0	1	0	0	0	0	0	2	0	0	2	1	0	0	0	1676	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	1155	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	28	0	1	0	0	0	0	0	0	0	0	0	0	0	2185	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ASV_13	12	15	12376	18	4	8	13001	15	341	26054	53	622	2	4385	12	701	22347	31	495	11814	13	5	19533	12826	221	9540	8843	13765	4	2	2236	2	12	2092	252	11	1	2104	13	6672	4	3	8029	7	14	6879	17	4	1	9	17	22787	27540	34	35	14759	4479	10	10181	12683	5363	8598	1660	5	1	1	1	6	5	2	2	16	3090	1	1	8	6	4	2	4	2	5	25	11	9649	3	4	3	5	4	5	0	3656	5	0	238	0	4	1	4	7	7635	7	0	3598	68	749	0	1	1	8	0	1	3048	1714	5048	3	6	505	300	1143	0	1	0	6	9036	4	24	16717	0	9	0	1	1	1	0	2	9	0	1	1	1	3550	0	6	1	2	11	0	1	2	5	0	2	5	2	0	1	0	2	28	7	0	0	0	3584	3	1	5	1485	0	19147	7294	7	4463	293	1051	4	53	0	1	0	0	2	4	1687	0	5	0	1	0	3	0	5447	1	3	8	6458	0	2	0	44	3823	0	3270	3	4	1	2	3	0	706	4	0	1	1	2	14660	4502	1104	1	0	1	1566	1	3310	1	2	3	0	0	2	6253	2	1	1	0	1	4	0	1	0	0	1	1	2053	13	3	7793	2231	1	0	3	0	921	2	2	1	3	1	0	2	2	2	2	5482	0	1	1	0	1	0	2	4	2	1	4	0	10982	4001	11
ASV_15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_16	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	2874	1	0	0	0	0	0	2	1	0	0	0	0	0	0	733	1	0	1	0	0	6	0	0	0	0	2	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	2	0	0	0	2	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	8520	2	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	4	0	0	2915	1272	3	0	3	0	0	0	1	1	0	2	0	1	0	0	0	1361	0	1	0	2	0	1	1	0	1	0	0	1	0	0	1	0	0	2	1	0	2	0	0	0	1	3	0	1	0	0	0	0	8	1	0	1	0	0	0	0	6	0	2	0	0	0	0	1	0	762	0	0	0	0	1	6461	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	949	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0
